wave_index,slug,title,venue,arxiv_url,code_url
0,0_acontextintegrated,A Context-Integrated Transformer-Based Neural Network for Auction Design,ICML 2022,https://arxiv.org/abs/2201.12489,https://github.com/zjduan/CITransNet
1,1_ageometricframewor,A Geometric Framework for Understanding Memorization in Generative Models,ICLR 2025,https://arxiv.org/abs/2411.00113,https://github.com/layer6ai-labs/dgm_geometry
2,2_aratedistortionvie,A Rate-Distortion View of Uncertainty Quantification,ICML 2024,https://arxiv.org/abs/2406.10775,https://github.com/ifiaposto/Distance_Aware_Bottleneck
3,3_arobusttestforthes,A Robust Test for the Stationarity Assumption in Sequential Decision Making,ICML 2023,https://proceedings.mlr.press/v202/wang23ai.html,https://github.com/jtwang95/Double_CUSUM_RL
4,4_atheoreticalanalys,A Theoretical Analysis of the Test Error of Finite-Rank Kernel Ridge Regression,NeurIPS 2023,https://arxiv.org/abs/2310.00987,
5,5_aviewfromsomewhere,A View From Somewhere: Human-Centric Face Representations,ICLR 2023,https://arxiv.org/abs/2303.17176,https://github.com/SonyAI/a_view_from_somewhere
6,6_accurateandscalabl,Accurate and Scalable Estimation of Epistemic Uncertainty for Graph Neural Networks,ICLR 2024,https://arxiv.org/abs/2309.10976,
7,7_activelearningwith,Active Learning with Tabular Language Models,NeurIPS 2022,https://openreview.net/forum?id=b6UtkPRUivA,
8,8_agnosticlearnabili,Agnostic Learnability of Halfspaces via Logistic Loss,ICML 2022,https://arxiv.org/abs/2201.13419,
9,9_allinarow,All in a Row: Compressed Convolution Networks for Graphs,ICML 2023,https://proceedings.mlr.press/v202/sun23k.html,https://github.com/sunjss/CoCN
10,10_aninfinitewidthana,An Infinite-Width Analysis on the Jacobian-Regularised Training of a Neural Network,ICML 2024,https://arxiv.org/abs/2312.03386,
11,11_automaticclipping,Automatic Clipping: Differentially Private Deep Learning Made Easier and Stronger,NeurIPS 2023,https://arxiv.org/abs/2206.07136,https://github.com/awslabs/fast-differential-privacy
12,12_biologicallyinspir,Biologically-inspired adaptive learning in the Hopfield-network based self-optimization model,NeurIPS 2023,,
13,13_bisimulationmakesa,Bisimulation Makes Analogies in Goal-Conditioned Reinforcement Learning,ICML 2022,https://arxiv.org/abs/2204.13060,https://sites.google.com/view/gc-bisimulation
14,14_butterflyeffectsof,Butterfly Effects of SGD Noise: Error Amplification in Behavior Cloning and Autoregression,,https://arxiv.org/abs/2310.11428,
15,15_cabinet,CABINET: Content Relevance-based Noise Reduction for Table Question Answering,ICLR 2024,https://arxiv.org/abs/2402.01155,https://github.com/Sohanpatnaik106/CABINET_QA
