[tts/edge] title (698 chars, voice=en-US-AndrewNeural) -> title.mp3
[tts/edge] problem (668 chars, voice=en-US-AndrewNeural) -> problem.mp3
[tts/edge] motivation (745 chars, voice=en-US-AndrewNeural) -> motivation.mp3
[tts/edge] contribution (829 chars, voice=en-US-AndrewNeural) -> contribution.mp3
[tts/edge] method (906 chars, voice=en-US-AndrewNeural) -> method.mp3
[tts/edge] dataset-benchmark (742 chars, voice=en-US-AndrewNeural) -> dataset-benchmark.mp3
[tts/edge] key-result (794 chars, voice=en-US-AndrewNeural) -> key-result.mp3
[tts/edge] ablation-study (786 chars, voice=en-US-AndrewNeural) -> ablation-study.mp3
[tts/edge] headline-numbers (751 chars, voice=en-US-AndrewNeural) -> headline-numbers.mp3
[tts/edge] takeaway (702 chars, voice=en-US-AndrewNeural) -> takeaway.mp3

[tts] wrote 10 clips to /datadisk/project/ResearchStudio/benchmarks/paper2poster/runs/002_transformers_parallel_computation_and_logarithmi/002_transformers_parallel_computation_and_logarithmi/assets/audio (provider=edge, voice=en-US-AndrewNeural)
