[tts/edge] title (613 chars, voice=en-US-AndrewNeural) -> title.mp3
[tts/edge] problem (557 chars, voice=en-US-AndrewNeural) -> problem.mp3
[tts/edge] motivation (531 chars, voice=en-US-AndrewNeural) -> motivation.mp3
[tts/edge] contribution (549 chars, voice=en-US-AndrewNeural) -> contribution.mp3
[tts/edge] method (751 chars, voice=en-US-AndrewNeural) -> method.mp3
[tts/edge] dataset-benchmark (638 chars, voice=en-US-AndrewNeural) -> dataset-benchmark.mp3
[tts/edge] key-result (576 chars, voice=en-US-AndrewNeural) -> key-result.mp3
[tts/edge] ablation-study (506 chars, voice=en-US-AndrewNeural) -> ablation-study.mp3
[tts/edge] headline-numbers (627 chars, voice=en-US-AndrewNeural) -> headline-numbers.mp3
[tts/edge] takeaway (486 chars, voice=en-US-AndrewNeural) -> takeaway.mp3

[tts] wrote 10 clips to /datadisk/project/ResearchStudio/benchmarks/paper2poster/runs/034_mechanistic_mode_connectivity/034_mechanistic_mode_connectivity/assets/audio (provider=edge, voice=en-US-AndrewNeural)
